;Evap (mm.)
01-01-2010 00:00;105
01-02-2010 00:00;123.5
01-03-2010 00:00;160.3
01-04-2010 00:00;179.6
01-05-2010 00:00;166.9
01-06-2010 00:00;133.4
01-07-2010 00:00;124.7
01-08-2010 00:00;123.8
01-09-2010 00:00;124.6
01-10-2010 00:00;122.3
01-11-2010 00:00;107.7
01-12-2010 00:00;94.7
01-01-2011 00:00;105
01-02-2011 00:00;123.5
01-03-2011 00:00;160.3
01-04-2011 00:00;179.6
01-05-2011 00:00;166.9
01-06-2011 00:00;133.4
01-07-2011 00:00;124.7
01-08-2011 00:00;123.8
01-09-2011 00:00;124.6
01-10-2011 00:00;122.3
01-11-2011 00:00;107.7
01-12-2011 00:00;94.7
01-01-2012 00:00;105
01-02-2012 00:00;123.5
01-03-2012 00:00;160.3
01-04-2012 00:00;179.6
01-05-2012 00:00;166.9
01-06-2012 00:00;133.4
01-07-2012 00:00;124.7
01-08-2012 00:00;123.8
01-09-2012 00:00;124.6
01-10-2012 00:00;122.3
01-11-2012 00:00;107.7
01-12-2012 00:00;94.7
01-01-2013 00:00;105
01-02-2013 00:00;123.5
01-03-2013 00:00;160.3
01-04-2013 00:00;179.6
01-05-2013 00:00;166.9
01-06-2013 00:00;133.4
01-07-2013 00:00;124.7
01-08-2013 00:00;123.8
01-09-2013 00:00;124.6
01-10-2013 00:00;122.3
01-11-2013 00:00;107.7
01-12-2013 00:00;94.7
01-01-2014 00:00;105
01-02-2014 00:00;123.5
01-03-2014 00:00;160.3
01-04-2014 00:00;179.6
01-05-2014 00:00;166.9
01-06-2014 00:00;133.4
01-07-2014 00:00;124.7
01-08-2014 00:00;123.8
01-09-2014 00:00;124.6
01-10-2014 00:00;122.3
01-11-2014 00:00;107.7
01-12-2014 00:00;94.7
01-01-2015 00:00;105
01-02-2015 00:00;123.5
01-03-2015 00:00;160.3
01-04-2015 00:00;179.6
01-05-2015 00:00;166.9
01-06-2015 00:00;133.4
01-07-2015 00:00;124.7
01-08-2015 00:00;123.8
01-09-2015 00:00;124.6
01-10-2015 00:00;122.3
01-11-2015 00:00;107.7
01-12-2015 00:00;94.7
01-01-2016 00:00;105
01-02-2016 00:00;123.5
01-03-2016 00:00;160.3
01-04-2016 00:00;179.6
01-05-2016 00:00;166.9
01-06-2016 00:00;133.4
01-07-2016 00:00;124.7
01-08-2016 00:00;123.8
01-09-2016 00:00;124.6
01-10-2016 00:00;122.3
01-11-2016 00:00;107.7
01-12-2016 00:00;94.7
01-01-2017 00:00;105
01-02-2017 00:00;123.5
01-03-2017 00:00;160.3
01-04-2017 00:00;179.6
01-05-2017 00:00;166.9
01-06-2017 00:00;133.4
01-07-2017 00:00;124.7
01-08-2017 00:00;123.8
01-09-2017 00:00;124.6
01-10-2017 00:00;122.3
01-11-2017 00:00;107.7
01-12-2017 00:00;94.7
01-01-2018 00:00;105
01-02-2018 00:00;123.5
01-03-2018 00:00;160.3
01-04-2018 00:00;179.6
01-05-2018 00:00;166.9
01-06-2018 00:00;133.4
01-07-2018 00:00;124.7
01-08-2018 00:00;123.8
01-09-2018 00:00;124.6
01-10-2018 00:00;122.3
01-11-2018 00:00;107.7
01-12-2018 00:00;94.7
01-01-2019 00:00;105
01-02-2019 00:00;123.5
01-03-2019 00:00;160.3
01-04-2019 00:00;179.6
01-05-2019 00:00;166.9
01-06-2019 00:00;133.4
01-07-2019 00:00;124.7
01-08-2019 00:00;123.8
01-09-2019 00:00;124.6
01-10-2019 00:00;122.3
01-11-2019 00:00;107.7
01-12-2019 00:00;94.7
01-01-2020 00:00;105
01-02-2020 00:00;123.5
01-03-2020 00:00;160.3
01-04-2020 00:00;179.6
01-05-2020 00:00;166.9
01-06-2020 00:00;133.4
01-07-2020 00:00;124.7
01-08-2020 00:00;123.8
01-09-2020 00:00;124.6
01-10-2020 00:00;122.3
01-11-2020 00:00;107.7
01-12-2020 00:00;94.7
01-01-2021 00:00;105
01-02-2021 00:00;123.5
01-03-2021 00:00;160.3
01-04-2021 00:00;179.6
01-05-2021 00:00;166.9
01-06-2021 00:00;133.4
01-07-2021 00:00;124.7
01-08-2021 00:00;123.8
01-09-2021 00:00;124.6
01-10-2021 00:00;122.3
01-11-2021 00:00;107.7
01-12-2021 00:00;94.7
01-01-2022 00:00;105
01-02-2022 00:00;123.5
01-03-2022 00:00;160.3
01-04-2022 00:00;179.6
01-05-2022 00:00;166.9
01-06-2022 00:00;133.4
01-07-2022 00:00;124.7
01-08-2022 00:00;123.8
01-09-2022 00:00;124.6
01-10-2022 00:00;122.3
01-11-2022 00:00;107.7
01-12-2022 00:00;94.7
01-01-2023 00:00;105
01-02-2023 00:00;123.5
01-03-2023 00:00;160.3
01-04-2023 00:00;179.6
01-05-2023 00:00;166.9
01-06-2023 00:00;133.4
01-07-2023 00:00;124.7
01-08-2023 00:00;123.8
01-09-2023 00:00;124.6
01-10-2023 00:00;122.3
01-11-2023 00:00;107.7
01-12-2023 00:00;94.7
01-01-2024 00:00;105
01-02-2024 00:00;123.5
01-03-2024 00:00;160.3
01-04-2024 00:00;179.6
01-05-2024 00:00;166.9
01-06-2024 00:00;133.4
01-07-2024 00:00;124.7
01-08-2024 00:00;123.8
01-09-2024 00:00;124.6
01-10-2024 00:00;122.3
01-11-2024 00:00;107.7
01-12-2024 00:00;94.7
01-01-2025 00:00;105
01-02-2025 00:00;123.5
01-03-2025 00:00;160.3
01-04-2025 00:00;179.6
01-05-2025 00:00;166.9
01-06-2025 00:00;133.4
01-07-2025 00:00;124.7
01-08-2025 00:00;123.8
01-09-2025 00:00;124.6
01-10-2025 00:00;122.3
01-11-2025 00:00;107.7
01-12-2025 00:00;94.7
01-01-2026 00:00;105
01-02-2026 00:00;123.5
01-03-2026 00:00;160.3
01-04-2026 00:00;179.6
01-05-2026 00:00;166.9
01-06-2026 00:00;133.4
01-07-2026 00:00;124.7
01-08-2026 00:00;123.8
01-09-2026 00:00;124.6
01-10-2026 00:00;122.3
01-11-2026 00:00;107.7
01-12-2026 00:00;94.7
01-01-2027 00:00;105
01-02-2027 00:00;123.5
01-03-2027 00:00;160.3
01-04-2027 00:00;179.6
01-05-2027 00:00;166.9
01-06-2027 00:00;133.4
01-07-2027 00:00;124.7
01-08-2027 00:00;123.8
01-09-2027 00:00;124.6
01-10-2027 00:00;122.3
01-11-2027 00:00;107.7
01-12-2027 00:00;94.7
01-01-2028 00:00;105
01-02-2028 00:00;123.5
01-03-2028 00:00;160.3
01-04-2028 00:00;179.6
01-05-2028 00:00;166.9
01-06-2028 00:00;133.4
01-07-2028 00:00;124.7
01-08-2028 00:00;123.8
01-09-2028 00:00;124.6
01-10-2028 00:00;122.3
01-11-2028 00:00;107.7
01-12-2028 00:00;94.7
01-01-2029 00:00;105
01-02-2029 00:00;123.5
01-03-2029 00:00;160.3
01-04-2029 00:00;179.6
01-05-2029 00:00;166.9
01-06-2029 00:00;133.4
01-07-2029 00:00;124.7
01-08-2029 00:00;123.8
01-09-2029 00:00;124.6
01-10-2029 00:00;122.3
01-11-2029 00:00;107.7
01-12-2029 00:00;94.7
01-01-2030 00:00;105
01-02-2030 00:00;123.5
01-03-2030 00:00;160.3
01-04-2030 00:00;179.6
01-05-2030 00:00;166.9
01-06-2030 00:00;133.4
01-07-2030 00:00;124.7
01-08-2030 00:00;123.8
01-09-2030 00:00;124.6
01-10-2030 00:00;122.3
01-11-2030 00:00;107.7
01-12-2030 00:00;94.7
01-01-2031 00:00;105
01-02-2031 00:00;123.5
01-03-2031 00:00;160.3
01-04-2031 00:00;179.6
01-05-2031 00:00;166.9
01-06-2031 00:00;133.4
01-07-2031 00:00;124.7
01-08-2031 00:00;123.8
01-09-2031 00:00;124.6
01-10-2031 00:00;122.3
01-11-2031 00:00;107.7
01-12-2031 00:00;94.7
01-01-2032 00:00;105
01-02-2032 00:00;123.5
01-03-2032 00:00;160.3
01-04-2032 00:00;179.6
01-05-2032 00:00;166.9
01-06-2032 00:00;133.4
01-07-2032 00:00;124.7
01-08-2032 00:00;123.8
01-09-2032 00:00;124.6
01-10-2032 00:00;122.3
01-11-2032 00:00;107.7
01-12-2032 00:00;94.7
01-01-2033 00:00;105
01-02-2033 00:00;123.5
01-03-2033 00:00;160.3
01-04-2033 00:00;179.6
01-05-2033 00:00;166.9
01-06-2033 00:00;133.4
01-07-2033 00:00;124.7
01-08-2033 00:00;123.8
01-09-2033 00:00;124.6
01-10-2033 00:00;122.3
01-11-2033 00:00;107.7
01-12-2033 00:00;94.7
01-01-2034 00:00;105
01-02-2034 00:00;123.5
01-03-2034 00:00;160.3
01-04-2034 00:00;179.6
01-05-2034 00:00;166.9
01-06-2034 00:00;133.4
01-07-2034 00:00;124.7
01-08-2034 00:00;123.8
01-09-2034 00:00;124.6
01-10-2034 00:00;122.3
01-11-2034 00:00;107.7
01-12-2034 00:00;94.7
01-01-2035 00:00;105
01-02-2035 00:00;123.5
01-03-2035 00:00;160.3
01-04-2035 00:00;179.6
01-05-2035 00:00;166.9
01-06-2035 00:00;133.4
01-07-2035 00:00;124.7
01-08-2035 00:00;123.8
01-09-2035 00:00;124.6
01-10-2035 00:00;122.3
01-11-2035 00:00;107.7
01-12-2035 00:00;94.7
01-01-2036 00:00;105
01-02-2036 00:00;123.5
01-03-2036 00:00;160.3
01-04-2036 00:00;179.6
01-05-2036 00:00;166.9
01-06-2036 00:00;133.4
01-07-2036 00:00;124.7
01-08-2036 00:00;123.8
01-09-2036 00:00;124.6
01-10-2036 00:00;122.3
01-11-2036 00:00;107.7
01-12-2036 00:00;94.7
01-01-2037 00:00;105
01-02-2037 00:00;123.5
01-03-2037 00:00;160.3
01-04-2037 00:00;179.6
01-05-2037 00:00;166.9
01-06-2037 00:00;133.4
01-07-2037 00:00;124.7
01-08-2037 00:00;123.8
01-09-2037 00:00;124.6
01-10-2037 00:00;122.3
01-11-2037 00:00;107.7
01-12-2037 00:00;94.7
01-01-2038 00:00;105
01-02-2038 00:00;123.5
01-03-2038 00:00;160.3
01-04-2038 00:00;179.6
01-05-2038 00:00;166.9
01-06-2038 00:00;133.4
01-07-2038 00:00;124.7
01-08-2038 00:00;123.8
01-09-2038 00:00;124.6
01-10-2038 00:00;122.3
01-11-2038 00:00;107.7
01-12-2038 00:00;94.7
01-01-2039 00:00;105
01-02-2039 00:00;123.5
01-03-2039 00:00;160.3
01-04-2039 00:00;179.6
01-05-2039 00:00;166.9
01-06-2039 00:00;133.4
01-07-2039 00:00;124.7
01-08-2039 00:00;123.8
01-09-2039 00:00;124.6
01-10-2039 00:00;122.3
01-11-2039 00:00;107.7
01-12-2039 00:00;94.7
01-01-2040 00:00;105
01-02-2040 00:00;123.5
01-03-2040 00:00;160.3
01-04-2040 00:00;179.6
01-05-2040 00:00;166.9
01-06-2040 00:00;133.4
01-07-2040 00:00;124.7
01-08-2040 00:00;123.8
01-09-2040 00:00;124.6
01-10-2040 00:00;122.3
01-11-2040 00:00;107.7
01-12-2040 00:00;94.7
